Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Capacitor_SMD:C_0805_2012Metric,31.0000mm,40.0000mm,0.0,Top
C2,4.7uF,Capacitor_SMD:C_0805_2012Metric,7.0000mm,42.0000mm,0.0,Top
D1,LED,LED_SMD:LED_0805_2012Metric,15.0000mm,8.0000mm,0.0,Top
D2,LED,LED_SMD:LED_0805_2012Metric,25.0000mm,8.0000mm,0.0,Top
D3,LED,LED_SMD:LED_0805_2012Metric,35.0000mm,8.0000mm,0.0,Top
D4,LED,LED_SMD:LED_0805_2012Metric,15.0000mm,18.0000mm,0.0,Top
D5,LED,LED_SMD:LED_0805_2012Metric,25.0000mm,18.0000mm,0.0,Top
D6,LED,LED_SMD:LED_0805_2012Metric,35.0000mm,18.0000mm,0.0,Top
D7,LED,LED_SMD:LED_0805_2012Metric,15.0000mm,28.0000mm,0.0,Top
D8,LED,LED_SMD:LED_0805_2012Metric,25.0000mm,28.0000mm,0.0,Top
D9,LED,LED_SMD:LED_0805_2012Metric,35.0000mm,28.0000mm,0.0,Top
R1,330R,Resistor_SMD:R_0805_2012Metric,10.0000mm,36.0000mm,0.0,Top
R2,330R,Resistor_SMD:R_0805_2012Metric,20.0000mm,36.0000mm,0.0,Top
R3,330R,Resistor_SMD:R_0805_2012Metric,30.0000mm,36.0000mm,0.0,Top
R4,330R,Resistor_SMD:R_0805_2012Metric,40.0000mm,36.0000mm,0.0,Top
R5,10k,Resistor_SMD:R_0805_2012Metric,17.0000mm,40.0000mm,0.0,Top
