Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF 50V,board05_revB:CP_Elec_8x10.5_PolarityMark,12.0000mm,21.0000mm,0.0,Top
C10,100nF,Capacitor_SMD:C_0805_2012Metric,39.0000mm,43.0000mm,0.0,Top
C11,100nF,Capacitor_SMD:C_0805_2012Metric,55.0000mm,43.0000mm,0.0,Top
C12,100nF,Capacitor_SMD:C_0805_2012Metric,55.0000mm,38.0000mm,0.0,Top
C13,10nF,Capacitor_SMD:C_0805_2012Metric,48.0000mm,21.0000mm,0.0,Top
C14,100nF,Capacitor_SMD:C_0805_2012Metric,58.0000mm,66.0000mm,0.0,Top
C15,100nF,Capacitor_SMD:C_0805_2012Metric,26.0000mm,58.0000mm,0.0,Top
C16,100nF,Capacitor_SMD:C_0805_2012Metric,61.0000mm,26.0000mm,0.0,Top
C2,100nF,Capacitor_SMD:C_0805_2012Metric,18.0000mm,39.0000mm,0.0,Top
C3,100nF,Capacitor_SMD:C_0805_2012Metric,18.0000mm,44.0000mm,0.0,Top
C4,10nF,Capacitor_SMD:C_0805_2012Metric,17.0000mm,32.0000mm,0.0,Top
C5,100nF,Capacitor_SMD:C_0805_2012Metric,17.0000mm,35.5000mm,0.0,Top
C6,470nF,Capacitor_SMD:C_0805_2012Metric,30.0000mm,48.0000mm,0.0,Top
C7,1uF,Capacitor_SMD:C_0805_2012Metric,40.0000mm,15.0000mm,0.0,Top
C8,10uF,Capacitor_SMD:C_0805_2012Metric,54.0000mm,15.0000mm,0.0,Top
C9,100nF,Capacitor_SMD:C_0805_2012Metric,39.0000mm,36.0000mm,0.0,Top
D1,SS36,D_SMA,23.0000mm,8.0000mm,180.0,Top
D2,SMBJ24A,D_SMB,32.0000mm,8.0000mm,180.0,Top
D3,RED,LED_SMD:LED_0805_2012Metric,34.0000mm,69.0000mm,0.0,Top
F1,1A 63V,Fuse:Fuse_1206_3216Metric,15.0000mm,8.0000mm,0.0,Top
R1,0.5R,Resistor_SMD:R_2512_6332Metric,14.0000mm,50.0000mm,0.0,Top
R10,10k,Resistor_SMD:R_0805_2012Metric,59.0000mm,31.0000mm,0.0,Top
R11,10k,Resistor_SMD:R_0805_2012Metric,59.0000mm,34.0000mm,0.0,Top
R12,10k,Resistor_SMD:R_0805_2012Metric,59.0000mm,47.0000mm,0.0,Top
R13,1k,Resistor_SMD:R_0805_2012Metric,34.0000mm,64.0000mm,0.0,Top
R2,56k,Resistor_SMD:R_0805_2012Metric,23.0000mm,54.0000mm,0.0,Top
R3,10k,Resistor_SMD:R_0805_2012Metric,30.0000mm,54.0000mm,0.0,Top
R4,1k,Resistor_SMD:R_0805_2012Metric,18.0000mm,54.0000mm,0.0,Top
R5,10k,Resistor_SMD:R_0805_2012Metric,47.0000mm,29.0000mm,0.0,Top
R6,10k,Resistor_SMD:R_0805_2012Metric,40.0000mm,51.0000mm,0.0,Top
R7,10k,Resistor_SMD:R_0805_2012Metric,40.0000mm,56.0000mm,0.0,Top
R8,10k,Resistor_SMD:R_0805_2012Metric,34.0000mm,50.0000mm,0.0,Top
R9,10k,Resistor_SMD:R_0805_2012Metric,46.0000mm,62.0000mm,0.0,Top
U1,ATmega328P-AU,Package_QFP:TQFP-32_7x7mm_P0.8mm,47.0000mm,40.0000mm,0.0,Top
U2,DRV8313PWPR,board05_revB:TI_PWP0028C_EP3.4x9.7_Mask3.1x5.18_ThermalVias,25.0000mm,40.0000mm,0.0,Top
U3,TPS7A1650DGNR,Package_SO:HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm_ThermalVias,48.0000mm,15.0000mm,0.0,Top
