Comment,Designator,Footprint,LCSC Part #
100R 5W,"R20,R21",Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,
100nF,"C1,C2,C20,C22,C23,C25,C3,C30,C31,C33,C34,C5,C8",Capacitor_SMD:C_0805_2012Metric,
10k,"R10,R11,R2,R23,R24,R29,R5,R_GB1,R_GB2,R_GB3,R_GB4",Resistor_SMD:R_0805_2012Metric,C17414
10uF,"C21,C24,C32,C6,C7",Capacitor_SMD:C_0805_2012Metric,
150R 5W,R6,Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P25.40mm_Horizontal,
15A,F1,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031.8201_Horizontal_Open,C310991
1M,R1,Resistor_SMD:R_0805_2012Metric,
1k,"R12,R22",Resistor_SMD:R_0805_2012Metric,
270k,"R25,R27",Resistor_SMD:R_0805_2012Metric,
275VAC,RV1,Varistor:RV_Disc_D12mm_W4.2mm_P7.5mm,
2N7002,"Q7,Q8",Package_TO_SOT_SMD:SOT-23,
33k,"R3,R4",Resistor_SMD:R_0805_2012Metric,
4.7uF,C4,Capacitor_SMD:C_0805_2012Metric,C1779
5mR,R9,Resistor_SMD:R_2512_6332Metric,
9.1k,"R26,R28",Resistor_SMD:R_0805_2012Metric,
AO3400,"Q5,Q6",Package_TO_SOT_SMD:SOT-23,
DB107,D1,Diode_THT:Diode_Bridge_DIP-4_W7.62mm_P5.08mm,
H11AA1,U2,Package_DIP:DIP-6_W7.62mm,
INA180A3,U3,Package_TO_SOT_SMD:SOT-23-5,
IRFB4110,"Q1A,Q1B,Q2A,Q2B",Package_TO_SOT_THT:TO-220-3_Vertical,
LED,D2,LED_SMD:LED_0805_2012Metric,
LM393,"U7,U7,U7",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
LM7812,U9,Package_TO_SOT_THT:TO-220-3_Vertical,
MCP6001,U8,Package_TO_SOT_SMD:SOT-23-5,
RESET,SW1,Button_Switch_THT:SW_PUSH_6mm,
SMBJ18A,"D_TVS1,D_TVS2,D_TVS3,D_TVS4",Diode_SMD:D_SMA,
STM32G031K8T6,U1,Package_QFP:LQFP-32_7x7mm_P0.8mm,
SWD,J5,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,
TB,"J1,J2,J3,J4",TerminalBlock:TerminalBlock_bornier-2_P5.08mm,
UCC27211,"U5,U6",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
XC6206-3.3V,U4,Package_TO_SOT_SMD:SOT-23,
