Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Capacitor_SMD:C_0805_2012Metric,85.0000mm,64.0000mm,0.0,Top
C2,100nF,Capacitor_SMD:C_0805_2012Metric,50.0000mm,87.0000mm,0.0,Top
C20,100nF,Capacitor_SMD:C_0805_2012Metric,55.0000mm,36.0000mm,0.0,Top
C21,10uF,Capacitor_SMD:C_0805_2012Metric,60.0000mm,36.0000mm,0.0,Top
C22,100nF,Capacitor_SMD:C_0805_2012Metric,65.0000mm,36.0000mm,0.0,Top
C23,100nF,Capacitor_SMD:C_0805_2012Metric,55.0000mm,68.0000mm,0.0,Top
C24,10uF,Capacitor_SMD:C_0805_2012Metric,60.0000mm,68.0000mm,0.0,Top
C25,100nF,Capacitor_SMD:C_0805_2012Metric,65.0000mm,68.0000mm,0.0,Top
C3,100nF,Capacitor_SMD:C_0805_2012Metric,50.0000mm,90.0000mm,0.0,Top
C30,100nF,Capacitor_SMD:C_0805_2012Metric,130.0000mm,58.0000mm,0.0,Top
C31,100nF,Capacitor_SMD:C_0805_2012Metric,135.0000mm,56.0000mm,0.0,Top
C32,10uF,Capacitor_SMD:C_0805_2012Metric,144.0000mm,12.0000mm,0.0,Top
C33,100nF,Capacitor_SMD:C_0805_2012Metric,144.0000mm,18.0000mm,0.0,Top
C34,100nF,Capacitor_SMD:C_0805_2012Metric,105.0000mm,60.0000mm,0.0,Top
C4,4.7uF,Capacitor_SMD:C_0805_2012Metric,50.0000mm,93.0000mm,0.0,Top
C5,100nF,Capacitor_SMD:C_0805_2012Metric,80.0000mm,96.0000mm,0.0,Top
C6,10uF,Capacitor_SMD:C_0805_2012Metric,35.0000mm,88.0000mm,0.0,Top
C7,10uF,Capacitor_SMD:C_0805_2012Metric,39.0000mm,88.0000mm,0.0,Top
C8,100nF,Capacitor_SMD:C_0805_2012Metric,43.0000mm,88.0000mm,0.0,Top
